t,I,Type,"Type Numerical(A=0, C=1, T=2, G=3)",Blockade_Height
0.6899,0.85418,A,0,0.104084
0.53,0.83743,A,0,0.120834
0.5699,0.79915,A,0,0.159114
0.5601,0.89042,A,0,0.067844
0.3599,0.80345,A,0,0.154814
0.39,0.82916,A,0,0.129104
0.25,0.92947,A,0,0.028794
0.1801,0.96593,A,0,-0.007666
0.05,0.69853,A,0,0.259734
0.1801,1.00445,A,0,-0.046186
0.1201,0.88755,A,0,0.070714
0.0999,0.92932,A,0,0.028944
0.05,0.6403,A,0,0.317964
0.16,1.02036,A,0,-0.062096
0.0999,0.84855,A,0,0.109714
0.11,0.87579,A,0,0.082474
0.1501,0.84762,A,0,0.110644
0.0901,0.67752,A,0,0.280744
0.1499,0.77531,A,0,0.182954
0.08,0.81338,A,0,0.144884
0.1399,1.02211,A,0,-0.063846
0.1299,0.94264,A,0,0.015624
0.0899,0.90114,A,0,0.057124
0.06,0.67212,A,0,0.286144
0.11,0.91654,A,0,0.041724
0.1099,0.89756,A,0,0.060704
0.1401,0.91123,A,0,0.047034
0.13,0.97556,A,0,-0.017296
0.1799,0.74176,A,0,0.216504
0.1,0.81541,A,0,0.142854
0.26,0.99295,A,0,-0.034686
0.41,0.89568,A,0,0.062584
0.4201,0.89632,A,0,0.061944
0.36,0.93038,A,0,0.027884
0.36,0.71771,A,0,0.240554
0.77,0.85613,A,0,0.102134
0.53,0.80203,A,0,0.156234
0.08,0.54771,A,0,0.410554
0.9199,0.86791,A,0,0.090354
0.1399,0.64665,A,0,0.311614
0.2801,0.87979,A,0,0.078474
0.36,0.79429,A,0,0.163974
0.4701,0.79472,A,0,0.163544
0.28,0.73962,A,0,0.218644
0.3701,0.78595,A,0,0.172314
0.0901,0.56011,A,0,0.398154
0.4301,0.83084,A,0,0.127424
0.46,0.89759,A,0,0.060674
0.3201,0.85731,A,0,0.100954
0.72,0.93119,A,0,0.027074
0.48,0.94671,A,0,0.011554
0.6099,0.82601,A,0,0.132254
0.26,1.04762,A,0,-0.089356
0.6699,0.88974,A,0,0.068524
0.18,0.99028,A,0,-0.032016
0.51,0.80911,A,0,0.149154
0.3499,0.78405,A,0,0.174214
0.57,0.59991,A,0,0.358354
0.29,0.97579,A,0,-0.017526
0.1701,0.73573,A,0,0.222534
0.53,0.89251,A,0,0.065754
0.6399,0.90796,A,0,0.050304
0.45,0.97416,A,0,-0.015896
0.5,0.65514,A,0,0.303124
0.25,0.9734,A,0,-0.015136
0.26,1.01601,A,0,-0.057746
0.33,0.96535,A,0,-0.007086
0.3399,1.03512,A,0,-0.076856
0.3899,1.02293,A,0,-0.064666
0.3101,0.87442,A,0,0.083844
0.25,0.93272,A,0,0.025544
0.18,0.99983,A,0,-0.041566
