t,I,Type,"Type Numerical(A=0, C=1, T=2, G=3)",Blockade_Height
0.0997,0.48592,T,2,0.472344
0.0604,0.44086,T,2,0.517404
0.0997,0.60427,T,2,0.353994
0.1503,0.67539,T,2,0.282874
0.3108,0.5758,T,2,0.382464
0.0702,0.46233,T,2,0.495934
0.0585,0.40999,T,2,0.548274
0.1193,0.60805,T,2,0.350214
0.0705,0.44852,T,2,0.509744
0.1504,0.49264,T,2,0.465624
0.2403,0.56593,T,2,0.392334
0.09,0.51291,T,2,0.445354
0.08,0.46617,T,2,0.492094
0.09,0.51881,T,2,0.439454
0.0607,0.51259,T,2,0.445674
0.0704,0.42463,T,2,0.533634
0.08,0.55711,T,2,0.401154
0.07,0.47368,T,2,0.484584
0.0585,0.46365,T,2,0.494614
0.0897,0.58512,T,2,0.373144
0.0681,0.51964,T,2,0.438624
0.0919,0.53707,T,2,0.421194
0.0605,0.52,T,2,0.438264
0.08,0.61605,T,2,0.342214
0.0781,0.4012,T,2,0.557064
0.0897,0.60965,T,2,0.348614
0.0608,0.48744,T,2,0.470824
0.289,0.63421,T,2,0.324054
0.0897,0.48277,T,2,0.475494
0.3085,0.66825,T,2,0.290014
0.0606,0.42047,T,2,0.537794
0.0585,0.40438,T,2,0.553884
0.09,0.43063,T,2,0.527634
0.0702,0.42637,T,2,0.531894
0.119,0.41198,T,2,0.546284
0.1408,0.52157,T,2,0.436694
0.0608,0.43765,T,2,0.520614
0.0605,0.44283,T,2,0.515434
0.0705,0.45649,T,2,0.501774
0.0705,0.43164,T,2,0.526624
0.09,0.41455,T,2,0.543714
0.0801,0.42942,T,2,0.528844
0.121,0.48113,T,2,0.477134
0.129,0.50845,T,2,0.449814
0.0998,0.42981,T,2,0.528454
0.2305,0.65365,T,2,0.304614
0.0996,0.57342,T,2,0.384844
0.0605,0.47583,T,2,0.482434
0.129,0.48879,T,2,0.469474
0.0585,0.38967,T,2,0.568594
0.1896,0.5644,T,2,0.393864
0.1309,0.57407,T,2,0.384194
0.0585,0.46308,T,2,0.495184
0.1697,0.47379,T,2,0.484474
0.1018,0.51974,T,2,0.438524
0.1795,0.55877,T,2,0.399494
0.0586,0.41008,T,2,0.548184
0.0705,0.4848,T,2,0.473464
0.129,0.62866,T,2,0.329604
0.0585,0.46636,T,2,0.491904
0.0703,0.41246,T,2,0.545804
0.0996,0.42787,T,2,0.530394
0.1092,0.49097,T,2,0.467294
0.08,0.43366,T,2,0.524604
0.0603,0.41961,T,2,0.538654
0.0705,0.43094,T,2,0.527324
0.0705,0.47638,T,2,0.481884
0.08,0.44753,T,2,0.510734
0.0702,0.54183,T,2,0.416434
0.0704,0.47681,T,2,0.481454
0.0998,0.49675,T,2,0.461514
0.121,0.50192,T,2,0.456344
0.1818,0.55459,T,2,0.403674
0.0587,0.392,T,2,0.566264
0.0705,0.38947,T,2,0.568794
0.0606,0.48048,T,2,0.477784
0.08,0.49949,T,2,0.458774
0.0705,0.46685,T,2,0.491414
0.0605,0.48606,T,2,0.472204
0.0897,0.43995,T,2,0.518314
0.0607,0.49253,T,2,0.465734
0.1095,0.50505,T,2,0.453214
0.09,0.53264,T,2,0.425624
0.0608,0.45723,T,2,0.501034
0.0604,0.47866,T,2,0.479604
0.09,0.42514,T,2,0.533124
0.0605,0.41527,T,2,0.542994
0.1385,0.65919,T,2,0.299074
0.0605,0.42649,T,2,0.531774
0.0607,0.431,T,2,0.527264
0.0607,0.50628,T,2,0.451984
0.0586,0.42847,T,2,0.529794
0.08,0.4252,T,2,0.533064
0.0587,0.51694,T,2,0.441324
0.0801,0.44961,T,2,0.508654
0.0897,0.44246,T,2,0.515804
0.07,0.48138,T,2,0.476884
0.0801,0.59525,T,2,0.363014
0.0608,0.52346,T,2,0.434804
0.0604,0.57997,T,2,0.378294
0.2795,0.54492,T,2,0.413344
0.119,0.49104,T,2,0.467224
0.0603,0.42407,T,2,0.534194
0.0587,0.50688,T,2,0.451384
0.0604,0.53002,T,2,0.428244
0.08,0.53365,T,2,0.424614
0.0605,0.42945,T,2,0.528814
0.0704,0.42465,T,2,0.533614
0.1408,0.6188,T,2,0.339464
0.0895,0.46912,T,2,0.489144
0.209,0.57304,T,2,0.385224
0.0607,0.44963,T,2,0.508634
0.1407,0.51986,T,2,0.438404
0.0682,0.41792,T,2,0.540344
0.2208,0.55985,T,2,0.398414
0.0705,0.54539,T,2,0.412874
0.08,0.52301,T,2,0.435254
0.0586,0.50576,T,2,0.452504
0.0899,0.54169,T,2,0.416574
0.0605,0.51682,T,2,0.441444
0.0705,0.49368,T,2,0.464584
0.0586,0.38815,T,2,0.570114
0.0607,0.40518,T,2,0.553084
0.1092,0.42672,T,2,0.531544
0.1093,0.56113,T,2,0.397134
0.0704,0.50822,T,2,0.450044
0.0604,0.50899,T,2,0.449274
0.0995,0.5205,T,2,0.437764
0.0995,0.55599,T,2,0.402274
0.1387,0.50942,T,2,0.448844
0.2307,0.72042,T,2,0.237844
0.1018,0.56625,T,2,0.392014
0.1094,0.50637,T,2,0.451894
0.09,0.49024,T,2,0.468024
0.111,0.44176,T,2,0.516504
0.0898,0.46312,T,2,0.495144
0.0606,0.47195,T,2,0.486314
2.369,1.51649,T,2,-0.558226
5.1603,0.76782,T,2,0.190444
0.07,0.42207,T,2,0.536194
0.289,0.46931,T,2,0.488954
0.3105,0.4257,T,2,0.532564
0.1096,0.42813,T,2,0.530134
0.09,0.38837,T,2,0.569894
0.0805,0.43637,T,2,0.521894
0.629,0.43382,T,2,0.524444
0.1113,0.46572,T,2,0.492544
0.9003,0.47877,T,2,0.479494
0.67,0.44962,T,2,0.508644
0.0608,0.47137,T,2,0.486894
0.0586,0.39876,T,2,0.559504
0.08,0.43144,T,2,0.526824
0.0994,0.49048,T,2,0.467784
0.1309,0.66811,T,2,0.290154
0.0703,0.51324,T,2,0.445024
0.0682,0.53575,T,2,0.422514
0.09,0.55945,T,2,0.398814
0.0608,0.46142,T,2,0.496844
0.09,0.5789,T,2,0.379364
0.0507,0.55655,T,2,0.401714
0.0996,0.522,T,2,0.436264
0.0585,0.48214,T,2,0.476124
0.0703,0.54994,T,2,0.408324
0.0605,0.52288,T,2,0.435384
0.0587,0.39151,T,2,0.566754
0.0919,0.45416,T,2,0.504104
0.0899,0.53745,T,2,0.420814
0.0704,0.44739,T,2,0.510874
0.0705,0.47447,T,2,0.483794
0.1405,0.55843,T,2,0.399834
0.129,0.50444,T,2,0.453824
0.0899,0.51204,T,2,0.446224
0.08,0.51884,T,2,0.439424
0.09,0.5163,T,2,0.441964
0.2303,0.41679,T,2,0.541474
0.4298,0.5285,T,2,0.429764
0.1092,0.42615,T,2,0.532114
0.8695,0.51068,T,2,0.447584
0.0996,0.51064,T,2,0.447624
0.1113,0.47499,T,2,0.483274
0.0585,0.46004,T,2,0.498224
0.0995,0.53051,T,2,0.427754
0.0705,0.47041,T,2,0.487854
0.0997,0.51161,T,2,0.446654
0.1014,0.57138,T,2,0.386884
0.1503,0.53073,T,2,0.427534
0.0805,0.42469,T,2,0.533574
0.0897,0.55273,T,2,0.405534
0.1289,0.52077,T,2,0.437494
0.1018,0.46438,T,2,0.493884
0.09,0.45547,T,2,0.502794
0.0995,0.47523,T,2,0.483034
0.0998,0.49287,T,2,0.465394
0.0897,0.47301,T,2,0.485254
0.0606,0.39322,T,2,0.565044
0.08,0.48103,T,2,0.477234
0.0704,0.45639,T,2,0.501874
0.0705,0.47844,T,2,0.479824
0.0703,0.46333,T,2,0.494934
0.0682,0.51264,T,2,0.445624
0.08,0.51577,T,2,0.442494
0.0803,0.44979,T,2,0.508474
0.0585,0.50803,T,2,0.450234
0.08,0.52098,T,2,0.437284
0.0801,0.4465,T,2,0.511764
0.1092,0.52312,T,2,0.435144
0.08,0.46865,T,2,0.489614
0.0705,0.44092,T,2,0.517344
0.0702,0.45548,T,2,0.502784
0.0805,0.47524,T,2,0.483024
0.0899,0.44448,T,2,0.513784
0.08,0.56735,T,2,0.390914
0.0803,0.51608,T,2,0.442184
0.0801,0.51097,T,2,0.447294
0.08,0.53323,T,2,0.425034
0.08,0.58089,T,2,0.377374
0.0995,0.50682,T,2,0.451444
0.1092,0.50906,T,2,0.449204
0.131,0.47941,T,2,0.478854
0.0702,0.43093,T,2,0.527334
0.0899,0.51968,T,2,0.438584
0.09,0.50155,T,2,0.456714
0.1405,0.53146,T,2,0.426804
0.09,0.46735,T,2,0.490914
0.1095,0.58713,T,2,0.371134
0.0585,0.44722,T,2,0.511044
0.0897,0.52613,T,2,0.432134
0.08,0.53207,T,2,0.426194
0.1114,0.47077,T,2,0.487494
0.09,0.48852,T,2,0.469744
0.1014,0.44008,T,2,0.518184
0.0997,0.48254,T,2,0.475724
0.0705,0.45065,T,2,0.507614
0.0997,0.43954,T,2,0.518724
0.0919,0.53322,T,2,0.425044
0.0702,0.44388,T,2,0.514384
0.1096,0.47627,T,2,0.481994
0.0686,0.49882,T,2,0.459444
0.119,0.489,T,2,0.469264
0.08,0.4033,T,2,0.554964
0.1015,0.4428,T,2,0.515464
0.09,0.52392,T,2,0.434344
0.0899,0.44438,T,2,0.513884
0.1115,0.50849,T,2,0.449774
0.1095,0.47696,T,2,0.481304
0.1095,0.56637,T,2,0.391894
0.1018,0.48608,T,2,0.472184
0.0703,0.46764,T,2,0.490624
0.1014,0.48089,T,2,0.477374
0.0605,0.54442,T,2,0.413844
0.0704,0.42356,T,2,0.534704
0.1095,0.50819,T,2,0.450074
0.08,0.43599,T,2,0.522274
0.1095,0.50967,T,2,0.448594
0.08,0.51315,T,2,0.445114
0.0994,0.46314,T,2,0.495124
0.0682,0.45072,T,2,0.507544
0.0703,0.49533,T,2,0.462934
0.09,0.48723,T,2,0.471034
0.0608,0.50573,T,2,0.452534
0.121,0.56328,T,2,0.394984
0.09,0.53535,T,2,0.422914
0.16,0.52331,T,2,0.434954
0.1014,0.45555,T,2,0.502714
0.1191,0.56768,T,2,0.390584
0.1096,0.50858,T,2,0.449684
0.121,0.56659,T,2,0.391674
0.1305,0.57711,T,2,0.381154
0.129,0.5144,T,2,0.443864
0.1408,0.50212,T,2,0.456144
0.0702,0.47104,T,2,0.487224
0.0897,0.52471,T,2,0.433554
0.129,0.55823,T,2,0.400034
0.0686,0.52827,T,2,0.429994
0.139,0.50295,T,2,0.455314
0.08,0.47094,T,2,0.487324
0.121,0.51873,T,2,0.439534
0.1309,0.53533,T,2,0.422934
0.1096,0.48874,T,2,0.469524
0.0702,0.49043,T,2,0.467834
0.0895,0.53707,T,2,0.421194
0.129,0.49865,T,2,0.459614
0.0705,0.47495,T,2,0.483314
0.0703,0.49529,T,2,0.462974
0.1213,0.48413,T,2,0.474134
0.1092,0.49777,T,2,0.460494
0.1195,0.46334,T,2,0.494924
0.0995,0.50281,T,2,0.455454
0.09,0.46261,T,2,0.495654
0.1309,0.4887,T,2,0.469564
0.131,0.59924,T,2,0.359024
0.0895,0.53157,T,2,0.426694
0.0705,0.47882,T,2,0.479444
0.08,0.45604,T,2,0.502224
0.09,0.56039,T,2,0.397874
0.1405,0.50381,T,2,0.454454
0.09,0.4543,T,2,0.503964
0.0996,0.52316,T,2,0.435104
0.0702,0.49378,T,2,0.464484
0.1486,0.66063,T,2,0.297634
0.1191,0.60199,T,2,0.356274
0.1309,0.54611,T,2,0.412154
0.1287,0.57636,T,2,0.381904
0.1485,0.57778,T,2,0.380484
0.1504,0.6474,T,2,0.310864
0.0995,0.67299,T,2,0.285274
0.1095,0.62876,T,2,0.329504
0.129,0.64471,T,2,0.313554
0.0608,0.43635,T,2,0.521914
0.08,0.50249,T,2,0.455774
0.08,0.46273,T,2,0.495534
0.0702,0.50595,T,2,0.452314
0.0704,0.46787,T,2,0.490394
0.08,0.45913,T,2,0.499134
0.0895,0.45592,T,2,0.502344
0.0897,0.60975,T,2,0.348514
0.08,0.48002,T,2,0.478244
0.0585,0.43798,T,2,0.520284
0.0995,0.49177,T,2,0.466494
0.0997,0.52099,T,2,0.437274
0.0681,0.5569,T,2,0.401364
0.1095,0.52819,T,2,0.430074
0.09,0.60759,T,2,0.350674
0.08,0.47422,T,2,0.484044
0.0996,0.52461,T,2,0.433654
0.09,0.51721,T,2,0.441054
0.0603,0.46971,T,2,0.488554
0.0605,0.45892,T,2,0.499344
0.0605,0.52104,T,2,0.437224
0.0587,0.53435,T,2,0.423914
0.0585,0.41387,T,2,0.544394
0.0604,0.40551,T,2,0.552754
0.0705,0.49223,T,2,0.466034
0.1385,0.49207,T,2,0.466194
0.7303,0.45962,T,2,0.498644
0.07,0.49424,T,2,0.464024
0.1114,0.55526,T,2,0.403004
0.1605,0.569,T,2,0.389264
0.1014,0.55383,T,2,0.404434
0.0997,0.55893,T,2,0.399334
0.0586,0.43911,T,2,0.519154
0.1115,0.53002,T,2,0.428244
0.16,0.56766,T,2,0.390604
0.1191,0.49763,T,2,0.460634
0.0997,0.55304,T,2,0.405224
0.0998,0.47875,T,2,0.479514
0.08,0.4883,T,2,0.469964
0.0705,0.59187,T,2,0.366394
0.08,0.48236,T,2,0.475904
0.08,0.51448,T,2,0.443784
0.1285,0.60678,T,2,0.351484
0.0995,0.60699,T,2,0.351274
0.09,0.49827,T,2,0.459994
0.09,0.46599,T,2,0.492274
0.09,0.53888,T,2,0.419384
0.1014,0.63531,T,2,0.322954
0.1503,0.58454,T,2,0.373724
0.129,0.52364,T,2,0.434624
0.121,0.58152,T,2,0.376744
0.16,0.56665,T,2,0.391614
0.0897,0.46873,T,2,0.489534
0.1115,0.6434,T,2,0.314864
0.1482,0.69349,T,2,0.264774
0.0895,0.48671,T,2,0.471554
0.129,0.68997,T,2,0.268294
0.17,0.63902,T,2,0.319244
0.1287,0.66121,T,2,0.297054
0.1798,0.63036,T,2,0.327904
0.1092,0.56382,T,2,0.394444
0.0997,0.56987,T,2,0.388394
0.1195,0.55164,T,2,0.406624
0.1309,0.66328,T,2,0.294984
0.0998,0.46974,T,2,0.488524
0.121,0.59932,T,2,0.358944
0.0701,0.4761,T,2,0.482164
0.1505,0.61502,T,2,0.343244
0.09,0.50068,T,2,0.457584
0.1408,0.57632,T,2,0.381944
0.1092,0.50955,T,2,0.448714
0.1505,0.59261,T,2,0.365654
0.1896,0.62379,T,2,0.334474
0.1603,0.546,T,2,0.412264
0.1014,0.56248,T,2,0.395784
0.16,0.65463,T,2,0.303634
0.1603,0.56803,T,2,0.390234
0.1408,0.64995,T,2,0.308314
0.17,0.59986,T,2,0.358404
0.0585,0.49357,T,2,0.464694
0.1799,0.56213,T,2,0.396134
0.17,0.55886,T,2,0.399404
0.0995,0.50249,T,2,0.455774
0.1014,0.52537,T,2,0.432894
0.1407,0.65707,T,2,0.301194
0.1603,0.67377,T,2,0.284494
0.09,0.53898,T,2,0.419284
0.0998,0.63546,T,2,0.322804
0.1892,0.5976,T,2,0.360664
0.1115,0.52249,T,2,0.435774
0.1505,0.65844,T,2,0.299824
0.0997,0.53584,T,2,0.422424
0.1695,0.66274,T,2,0.295524
0.209,0.64529,T,2,0.312974
0.16,0.66151,T,2,0.296754
0.1697,0.62286,T,2,0.335404
0.1505,0.55045,T,2,0.407814
0.1798,0.61371,T,2,0.344554
0.1506,0.6363,T,2,0.321964
0.1504,0.65942,T,2,0.298844
0.1605,0.58617,T,2,0.372094
0.1795,0.59189,T,2,0.366374
0.17,0.73154,T,2,0.226724
0.24,0.78369,T,2,0.174574
0.1914,0.67285,T,2,0.285414
0.2286,0.64856,T,2,0.309704
0.16,0.55188,T,2,0.406384
0.1504,0.64885,T,2,0.309414
0.1818,0.63961,T,2,0.318654
0.1814,0.68928,T,2,0.268984
0.129,0.61163,T,2,0.346634
0.1992,0.69243,T,2,0.265834
0.17,0.64284,T,2,0.315424
0.1505,0.72239,T,2,0.235874
0.1605,0.63009,T,2,0.328174
0.131,0.62071,T,2,0.337554
0.111,0.55691,T,2,0.401354
0.1289,0.56216,T,2,0.396104
0.1191,0.57887,T,2,0.379394
0.1503,0.65802,T,2,0.300244
0.16,0.62207,T,2,0.336194
0.1503,0.5769,T,2,0.381364
0.119,0.5143,T,2,0.443964
0.1409,0.53224,T,2,0.426024
0.1605,0.52944,T,2,0.428824
0.16,0.59154,T,2,0.366724
0.0998,0.54702,T,2,0.411244
0.1191,0.50275,T,2,0.455514
0.129,0.53407,T,2,0.424194
0.1015,0.59715,T,2,0.361114
0.119,0.55437,T,2,0.403894
0.1115,0.52319,T,2,0.435074
0.1211,0.66071,T,2,0.297554
0.16,0.61428,T,2,0.343984
0.1195,0.52589,T,2,0.432374
0.1193,0.49088,T,2,0.467384
0.1404,0.5698,T,2,0.388464
0.1409,0.60755,T,2,0.350714
0.18,0.62881,T,2,0.329454
0.1387,0.59346,T,2,0.364804
0.1504,0.6746,T,2,0.283664
0.1699,0.61415,T,2,0.344114
0.129,0.56903,T,2,0.389234
0.0995,0.56479,T,2,0.393474
0.131,0.66611,T,2,0.292154
0.1797,0.71487,T,2,0.243394
0.17,0.71244,T,2,0.245824
0.1191,0.59032,T,2,0.367944
0.121,0.56945,T,2,0.388814
0.1211,0.59842,T,2,0.359844
0.1092,0.60738,T,2,0.350884
0.1408,0.63987,T,2,0.318394
0.1092,0.54219,T,2,0.416074
0.121,0.63172,T,2,0.326544
0.129,0.59189,T,2,0.366374
0.1795,0.71504,T,2,0.243224
0.1503,0.71876,T,2,0.239504
0.0995,0.56142,T,2,0.396844
0.08,0.56049,T,2,0.397774
0.0585,0.45381,T,2,0.504454
0.0704,0.5163,T,2,0.441964
0.08,0.58162,T,2,0.376644
0.1697,0.47207,T,2,0.486194
0.1114,0.41168,T,2,0.546584
0.0895,0.53046,T,2,0.427804
0.0998,0.59452,T,2,0.363744
0.1506,0.60507,T,2,0.353194
0.1408,0.59,T,2,0.368264
0.139,0.55708,T,2,0.401184
0.17,0.5464,T,2,0.411864
0.1307,0.59797,T,2,0.360294
0.199,0.6581,T,2,0.300164
0.129,0.57569,T,2,0.382574
0.1603,0.55063,T,2,0.407634
0.1892,0.64312,T,2,0.315144
0.1605,0.55957,T,2,0.398694
0.1486,0.57004,T,2,0.388224
0.1797,0.59019,T,2,0.368074
0.2304,0.69342,T,2,0.264844
0.1798,0.59942,T,2,0.358844
0.09,0.47282,T,2,0.485444
0.1092,0.59472,T,2,0.363544
0.1603,0.58361,T,2,0.374654
0.17,0.62825,T,2,0.330014
0.1895,0.66146,T,2,0.296804
0.1289,0.61543,T,2,0.342834
0.0995,0.54621,T,2,0.412054
0.129,0.64468,T,2,0.313584
0.07,0.58638,T,2,0.371884
0.08,0.553,T,2,0.405264
0.1093,0.57122,T,2,0.387044
0.0586,0.40243,T,2,0.555834
0.0702,0.4178,T,2,0.540464
0.0899,0.58372,T,2,0.374544
0.08,0.7631,T,2,0.195164
0.0996,0.5404,T,2,0.417864
0.07,0.64062,T,2,0.317644
0.1309,0.6488,T,2,0.309464
0.129,0.63667,T,2,0.321594
0.0681,0.57881,T,2,0.379454
0.121,0.65923,T,2,0.299034
0.1409,0.59167,T,2,0.366594
0.0703,0.60227,T,2,0.355994
0.0997,0.57513,T,2,0.383134
0.17,0.63966,T,2,0.318604
0.17,0.76775,T,2,0.190514
0.08,0.51641,T,2,0.441854
0.129,0.62944,T,2,0.328824
0.0995,0.5322,T,2,0.426064
0.1409,0.55263,T,2,0.405634
0.1193,0.58445,T,2,0.373814
0.1387,0.61086,T,2,0.347404
0.1407,0.60621,T,2,0.352054
0.1211,0.60129,T,2,0.356974
0.139,0.60279,T,2,0.355474
0.17,0.65918,T,2,0.299084
0.1818,0.63343,T,2,0.324834
0.1991,0.71412,T,2,0.244144
0.1915,0.69796,T,2,0.260304
0.129,0.66813,T,2,0.290134
0.1387,0.57888,T,2,0.379384
0.1699,0.60252,T,2,0.355744
0.1505,0.60523,T,2,0.353034
0.17,0.68586,T,2,0.272404
0.1603,0.66097,T,2,0.297294
0.1409,0.63407,T,2,0.324194
0.1914,0.70131,T,2,0.256954
0.1898,0.7403,T,2,0.217964
0.1797,0.7348,T,2,0.223464
0.1913,0.70341,T,2,0.254854
0.131,0.66399,T,2,0.294274
0.1797,0.66372,T,2,0.294544
0.1095,0.53806,T,2,0.420204
0.1015,0.55809,T,2,0.400174
0.1211,0.57179,T,2,0.386474
0.1115,0.57185,T,2,0.386414
0.1193,0.68443,T,2,0.273834
0.1092,0.52838,T,2,0.429884
0.1195,0.54861,T,2,0.409654
0.1504,0.57732,T,2,0.380944
0.0587,0.55867,T,2,0.399594
0.131,0.52231,T,2,0.435954
0.1195,0.54313,T,2,0.415134
0.1096,0.58965,T,2,0.368614
0.1114,0.53538,T,2,0.422884
0.1092,0.52703,T,2,0.431234
0.0995,0.45148,T,2,0.506784
0.0995,0.58064,T,2,0.377624
0.0585,0.46796,T,2,0.490304
0.0995,0.48114,T,2,0.477124
0.1095,0.54926,T,2,0.409004
0.1305,0.60382,T,2,0.354444
0.09,0.55929,T,2,0.398974
0.1503,0.6369,T,2,0.321364
0.0895,0.49548,T,2,0.462784
0.1114,0.45374,T,2,0.504524
0.131,0.56548,T,2,0.392784
0.119,0.54736,T,2,0.410904
0.1601,0.60292,T,2,0.355344
0.1505,0.60851,T,2,0.349754
0.1404,0.52833,T,2,0.429934
0.17,0.55554,T,2,0.402724
0.1018,0.54094,T,2,0.417324
0.1486,0.59436,T,2,0.363904
0.0703,0.60645,T,2,0.351814
0.1601,0.60501,T,2,0.353254
0.129,0.66279,T,2,0.295474
0.1796,0.60996,T,2,0.348304
0.2013,0.70844,T,2,0.249824
0.1505,0.65673,T,2,0.301534
0.1409,0.60202,T,2,0.356244
0.121,0.62991,T,2,0.328354
0.0995,0.50731,T,2,0.450954
0.17,0.63704,T,2,0.321224
0.1505,0.62326,T,2,0.335004
0.121,0.57235,T,2,0.385914
0.1307,0.60452,T,2,0.353744
0.1797,0.63038,T,2,0.327884
0.1797,0.65349,T,2,0.304774
0.1601,0.58164,T,2,0.376624
0.1191,0.60663,T,2,0.351634
0.16,0.57969,T,2,0.378574
0.1386,0.62558,T,2,0.332684
0.1605,0.55807,T,2,0.400194
0.121,0.53602,T,2,0.422244
0.1408,0.56174,T,2,0.396524
0.131,0.65704,T,2,0.301224
0.1093,0.66974,T,2,0.288524
0.1211,0.61295,T,2,0.345314
0.1503,0.64279,T,2,0.315474
0.1387,0.5791,T,2,0.379164
0.1408,0.64451,T,2,0.313754
0.1504,0.65457,T,2,0.303694
0.131,0.65336,T,2,0.304904
0.1503,0.68611,T,2,0.272154
0.1387,0.6148,T,2,0.343464
0.1409,0.62585,T,2,0.332414
0.1385,0.61643,T,2,0.341834
0.16,0.64911,T,2,0.309154
0.0997,0.60266,T,2,0.355604
0.1915,0.66432,T,2,0.293944
0.129,0.62583,T,2,0.332434
0.1798,0.65603,T,2,0.302234
0.2013,0.6195,T,2,0.338764
0.1482,0.67284,T,2,0.285424
0.17,0.77629,T,2,0.181974
0.1992,0.66575,T,2,0.292514
0.1409,0.67115,T,2,0.287114
0.1605,0.68145,T,2,0.276814
0.1795,0.70759,T,2,0.250674
0.1095,0.537,T,2,0.421264
0.1505,0.58867,T,2,0.369594
0.1115,0.58425,T,2,0.374014
0.1386,0.60047,T,2,0.357794
0.08,0.41694,T,2,0.541324
0.1601,0.53214,T,2,0.426124
0.119,0.51201,T,2,0.446254
0.0705,0.51199,T,2,0.446274
0.0899,0.52655,T,2,0.431714
0.1096,0.539,T,2,0.419264
0.1407,0.58407,T,2,0.374194
0.0997,0.58794,T,2,0.370324
0.1408,0.57578,T,2,0.382484
0.139,0.57445,T,2,0.383814
0.131,0.55003,T,2,0.408234
0.1699,0.64571,T,2,0.312554
0.16,0.67707,T,2,0.281194
0.1385,0.5871,T,2,0.371164
0.1014,0.57425,T,2,0.384014
0.0995,0.65516,T,2,0.303104
0.1719,0.58016,T,2,0.378104
0.1387,0.58822,T,2,0.370044
0.1697,0.64578,T,2,0.312484
0.129,0.71979,T,2,0.238474
0.17,0.72487,T,2,0.233394
0.1505,0.6566,T,2,0.301664
0.16,0.61,T,2,0.348264
0.17,0.71691,T,2,0.241354
0.17,0.67562,T,2,0.282644
0.1602,0.64047,T,2,0.317794
0.1795,0.70897,T,2,0.249294
0.131,0.67653,T,2,0.281734
0.16,0.66798,T,2,0.290284
0.1506,0.72566,T,2,0.232604
0.119,0.6684,T,2,0.289864
0.129,0.69394,T,2,0.264324
0.119,0.55861,T,2,0.399654
0.0606,0.41286,T,2,0.545404
0.0587,0.5342,T,2,0.424064
0.0995,0.40225,T,2,0.556014
0.08,0.50863,T,2,0.449634
0.0995,0.45827,T,2,0.499994
0.1095,0.44708,T,2,0.511184
0.2208,0.42372,T,2,0.534544
0.201,0.42505,T,2,0.533214
0.3904,0.56839,T,2,0.389874
0.0895,0.49011,T,2,0.468154
0.0704,0.46886,T,2,0.489404
0.08,0.52399,T,2,0.434274
0.0805,0.45056,T,2,0.507704
0.0602,0.50905,T,2,0.449214
0.0995,0.49507,T,2,0.463194
0.0919,0.51221,T,2,0.446054
0.0703,0.53317,T,2,0.425094
0.1095,0.45234,T,2,0.505924
0.08,0.54456,T,2,0.413704
0.0703,0.45785,T,2,0.500414
0.1385,0.60749,T,2,0.350774
0.119,0.56047,T,2,0.397794
0.0895,0.50881,T,2,0.449454
0.09,0.56202,T,2,0.396244
0.16,0.58933,T,2,0.368934
0.0604,0.4414,T,2,0.516864
0.0682,0.51294,T,2,0.445324
0.08,0.52225,T,2,0.436014
0.1193,0.53994,T,2,0.418324
0.0681,0.50327,T,2,0.454994
0.0998,0.53713,T,2,0.421134
0.0605,0.51826,T,2,0.440004
0.1095,0.54374,T,2,0.414524
0.0703,0.45088,T,2,0.507384
0.0605,0.47828,T,2,0.479984
0.0997,0.4508,T,2,0.507464
0.0898,0.48812,T,2,0.470144
0.1408,0.58934,T,2,0.368924
0.0899,0.57248,T,2,0.385784
0.1115,0.57986,T,2,0.378404
0.0605,0.52539,T,2,0.432874
0.0897,0.52857,T,2,0.429694
0.0705,0.51263,T,2,0.445634
0.0998,0.50628,T,2,0.451984
0.1195,0.46966,T,2,0.488604
0.1014,0.52412,T,2,0.434144
0.1213,0.48428,T,2,0.473984
0.0705,0.48402,T,2,0.474244
0.0606,0.45716,T,2,0.501104
0.0604,0.52319,T,2,0.435074
0.1309,0.59384,T,2,0.364424
0.0605,0.42723,T,2,0.531034
0.1387,0.50834,T,2,0.449924
0.09,0.50772,T,2,0.450544
0.0895,0.51587,T,2,0.442394
0.0899,0.49026,T,2,0.468004
0.1115,0.52173,T,2,0.436534
0.0585,0.47481,T,2,0.483454
0.08,0.42238,T,2,0.535884
0.1191,0.51363,T,2,0.444634
0.0801,0.45094,T,2,0.507324
0.0899,0.47317,T,2,0.485094
0.0586,0.46821,T,2,0.490054
0.0585,0.49623,T,2,0.462034
0.0587,0.47139,T,2,0.486874
0.0994,0.43655,T,2,0.521714
0.08,0.51202,T,2,0.446244
0.09,0.47189,T,2,0.486374
0.0897,0.40409,T,2,0.554174
0.1193,0.49923,T,2,0.459034
0.0703,0.43154,T,2,0.526724
0.0703,0.41008,T,2,0.548184
0.1018,0.5166,T,2,0.441664
0.08,0.51564,T,2,0.442624
0.1092,0.58017,T,2,0.378094
0.0704,0.48958,T,2,0.468684
0.1095,0.51432,T,2,0.443944
0.1289,0.5119,T,2,0.446364
0.1191,0.59462,T,2,0.363644
0.1191,0.5199,T,2,0.438364
0.121,0.49967,T,2,0.458594
0.119,0.4762,T,2,0.482064
0.1093,0.59442,T,2,0.363844
0.08,0.46496,T,2,0.493304
0.0995,0.55684,T,2,0.401424
0.1309,0.51322,T,2,0.445044
0.0801,0.53158,T,2,0.426684
0.09,0.44449,T,2,0.513774
0.1408,0.51233,T,2,0.445934
0.129,0.5116,T,2,0.446664
